rname_upper,rname,Size,AsmString,isBarrier,Arch,Format,Set,frag1,frag2,frag3,frag4,frag5,frag6,frag7,frag8,frag9,TwoOperandAliasConstraint,canFoldAsLoad,isCompare,Namespace,mayLoad,Sched,hasPostISelHook,AddedComplexity,isReMaterializable,InOperandList,OutOperandList,Itinerary,hasSideEffects,isIndirectBranch,isCodeGenOnly,DisableEncoding,mayStore,isCall,isTerminator,isBranch,isAsCheapAsAMove,isReturn,Constraints,isCommutable,hasDelaySlot,Defs,Uses,DecoderMethod,DecoderNamespace,Pattern,isMoveReg,AdditionalPredicates,GPRPredicates,InsnPredicates,EncodingPredicates,ASEPredicate,FGRPredicates,HardFloatPredicate,PTRPredicates,Predicates,SoftFail,hasNoSchedulingInfo,AsmMatchConverter,usesCustomInserter
FSGNJX_H,fsgnjx.h,4,"""fsgnjx.h	$rd, $rs1, $rs2""",None,?,R,Zfh,{is_split=False;name=funct7;value=0010010;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=funct3;value=010;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=Opcode;value=1010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,[],None,None,None,"(ins FPR16:$rs1, FPR16:$rs2)",(outs FPR16:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtZfh],None,None,None,None
FMIN_H,fmin.h,4,"""fmin.h	$rd, $rs1, $rs2""",None,?,R,Zfh,{is_split=False;name=funct7;value=0010110;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=funct3;value=000;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=Opcode;value=1010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,[],None,None,None,"(ins FPR16:$rs1, FPR16:$rs2)",(outs FPR16:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtZfh],None,None,None,None
FMAX_H,fmax.h,4,"""fmax.h	$rd, $rs1, $rs2""",None,?,R,Zfh,{is_split=False;name=funct7;value=0010110;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=funct3;value=001;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=Opcode;value=1010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,[],None,None,None,"(ins FPR16:$rs1, FPR16:$rs2)",(outs FPR16:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtZfh],None,None,None,None
FCVT_W_H,fcvt.w.h,4,"""fcvt.w.h	$rd, $rs1, $funct3""",None,?,R,Zfh,{is_split=False;name=funct7;value=1100010;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=00000;bit_range=24-20;is_op=False;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=funct3;value=NULL;bit_range=14-12;is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=0;NoZero=False;class_name_riscv=frmarg;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=Opcode;value=1010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,[],None,None,None,"(ins FPR16:$rs1, frmarg:$funct3)",(outs GPR:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtZfh],None,None,None,None
FCVT_WU_H,fcvt.wu.h,4,"""fcvt.wu.h	$rd, $rs1, $funct3""",None,?,R,Zfh,{is_split=False;name=funct7;value=1100010;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=00001;bit_range=24-20;is_op=False;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=funct3;value=NULL;bit_range=14-12;is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=0;NoZero=False;class_name_riscv=frmarg;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=Opcode;value=1010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,[],None,None,None,"(ins FPR16:$rs1, frmarg:$funct3)",(outs GPR:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtZfh],None,None,None,None
FCVT_H_W,fcvt.h.w,4,"""fcvt.h.w	$rd, $rs1, $funct3""",None,?,R,Zfh,{is_split=False;name=funct7;value=1101010;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=00000;bit_range=24-20;is_op=False;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=funct3;value=NULL;bit_range=14-12;is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=0;NoZero=False;class_name_riscv=frmarg;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=Opcode;value=1010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,[],None,None,None,"(ins GPR:$rs1, frmarg:$funct3)",(outs FPR16:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtZfh],None,None,None,None
FCVT_H_WU,fcvt.h.wu,4,"""fcvt.h.wu	$rd, $rs1, $funct3""",None,?,R,Zfh,{is_split=False;name=funct7;value=1101010;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=00001;bit_range=24-20;is_op=False;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=funct3;value=NULL;bit_range=14-12;is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=0;NoZero=False;class_name_riscv=frmarg;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=Opcode;value=1010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,[],None,None,None,"(ins GPR:$rs1, frmarg:$funct3)",(outs FPR16:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtZfh],None,None,None,None
FCVT_H_S,fcvt.h.s,4,"""fcvt.h.s	$rd, $rs1, $funct3""",None,?,R,Zfh,{is_split=False;name=funct7;value=0100010;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=00000;bit_range=24-20;is_op=False;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR32;class_name_mips=NULL;len=5},{is_split=False;name=funct3;value=NULL;bit_range=14-12;is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=0;NoZero=False;class_name_riscv=frmarg;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=Opcode;value=1010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,[],None,None,None,"(ins FPR32:$rs1, frmarg:$funct3)",(outs FPR16:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtZfh],None,None,None,None
FCVT_S_H,fcvt.s.h,4,"""fcvt.s.h	$rd, $rs1""",None,?,R,Zfh,{is_split=False;name=funct7;value=0100000;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=00010;bit_range=24-20;is_op=False;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=funct3;value=000;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR32;class_name_mips=NULL;len=5},{is_split=False;name=Opcode;value=1010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,[],None,None,None,(ins FPR16:$rs1),(outs FPR32:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtZfh],None,None,None,None
FMV_X_H,fmv.x.h,4,"""fmv.x.h	$rd, $rs1""",None,?,R,Zfh,{is_split=False;name=funct7;value=1110010;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=00000;bit_range=24-20;is_op=False;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=funct3;value=000;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=Opcode;value=1010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,[],None,None,None,(ins FPR16:$rs1),(outs GPR:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtZfh],None,None,None,None
