instr
def ADD4TLS  
def ADDI   
def ADDIC  
def ADDICo 
def ADDIS  
def ANDIo 
def ANDISo 
def B   
def BA  
def BC  
def BCC 
def BCCA 
def BCCLR 
def BCLalways  
def BCLR  
def BCLRn 
def BCn 
def BCTR 
def BCTRL 
def BDNZ 
def BDNZA 
def BDNZAm
def BDNZAp
def BDNZL 
def BDNZLA 
def BDNZLAm
def BDNZLAp
def BDNZLm
def BDNZLp
def BDNZLRL 
def BDNZLRLm
def BDNZLRLp
def BDNZm
def BDNZp
def BDZ  
def BDZA  
def BDZAm 
def BDZAp 
def BDZL  
def BDZLA  
def BDZLAm 
def BDZLAp 
def BDZLm 
def BDZLp 
def BDZLRL  
def BDZLRLm 
def BDZLRLp 
def BDZm 
def BDZp 
def BL  
def BLA 
def BLR 
def BLRL 
def CMPB 
def CMPLW  
def CMPLWI 
def CMPRB  
def CMPW   
def CMPWI 
def DIVWE 
def DIVWEo 
def DIVWEU 
def DIVWEUo 
def LBZ 
def LBZU 
def LBZUX 
def LBZX 
def LFD 
def LFDU 
def LFDUX 
def LFDX   
def LFIWAX 
def LFIWZX 
def LFS 
def LFSU 
def LFSUX 
def LFSX   
def LHA 
def LHAU 
def LHAUX 
def LHAX 
def LHBRX 
def LHZ 
def LHZU 
def LHZUX 
def LHZX 
def LI  
def LIS 
def LMW 
def LWBRX 
def LWZ 
def LWZU 
def LWZUX 
def LWZX 
def MODSW 
def MODUW 
def MULLI  
def NOP   
def ORI   
def ORIS  
def RLWINM 
def RLWINMo 
def STB  
def STBCX 
def STBU  
def STBUX 
def STBX  
def STFD 
def STFDU 
def STFDUX
def STFDX 
def STFIWX
def STFS 
def STFSU 
def STFSUX
def STFSX 
def STH  
def STHBRX
def STHCX 
def STHU  
def STHUX 
def STHX  
def STMW 
def STW  
def STWAT 
def STWBRX
def STWCX 
def STWU  
def STWUX 
def STWX  
def SUBFIC 
def XORI  
def XORIS 
defm ADD4  
defm ADDC  
defm ADDE  
defm ADDME  
defm ADDZE  
defm AND  
defm ANDC 
defm CNTLZW 
defm CNTTZW 
defm DIVW  
defm DIVWU 
defm EQV  
defm EXTSB  
defm EXTSH  
defm MULHW 
defm MULHWU 
defm MULLW 
defm NAND 
defm NEG    
defm NOR  
defm OR   
defm ORC  
defm RLWIMI 
defm RLWNM  
defm SLW  
defm SRAW 
defm SRAWI 
defm SRW  
defm SUBF  
defm SUBFC 
defm SUBFE 
defm SUBFME 
defm SUBFZE 
defm XOR
